FITNESSZONE CADUCIDADES 25/26,,,,,,,,,,,,,,
,,#N/A,#N/A,#N/A,#N/A,#N/A,,#N/A,,,-46.143,#N/A,,#N/A
LA FILA DE ARRIBA ES LA QUE TIENE LAS FORMULAS CORRECTAS PARA USAR EL LECTOR- COPIA DE AHI PARA INTRODUCIR NUEVAS FILAS,,,,,,,,,,,,,,
UBI,CODIGO,SKU,PRODUCTO,MARCA,TIPO,COSTE,UDS,COSTE TOTAL,FECHA,FECHA MES,DIAS,ESTADO,OBSERVACIONES,TAGS
LR,8413412209350,563-11,Salsas Servivita 320 Ml Café - Toffee,Servivita,Comida Fitness,"1,71",1,"1,71",02/10/2025,oct-2025,-211,VENDIDO,,"+vistos, 10IVA, Comida Saludable, Desayunos Fit, Fit Food, Keto, Recommendation, Salsas cremas y siropes, Sin gluten, Sin lactosa"
AL,5999076204489,500-1,L-Carnitine 100.000 500 Ml Cereza,Biotech USA,Control y Pérdida de peso,"14,87",1,"14,87",02/10/2025,oct-2025,-211,VENDIDO,,"10IVA, Carnitina, Control de peso, Lipotrópicos / Sin estimulantes, Líquido, Perder peso, Té verde"
CL,8413332806233,1834-8,Salsas Protella 350 Gr Rancherita,Protella,Comida Fitness,"2,16",2,"4,32",02/10/2025,oct-2025,-211,VENDIDO,,"10IVA, Comida Saludable, DECATHLON.AUMENTO.2.99, Desayunos Fit, Fit Food, Keto, Salsas cremas y siropes"
CL,8436574337884,894-4,Instant Rice Flour 2 Kg Galleta,Quamtrax,Avena / Arroz,"6,81",1,"6,81",03/10/2025,oct-2025,-210,VENDIDO,,"+vistos, 1.01 kg - 2 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.3.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
3C,8436574337884,894-4,Instant Rice Flour 2 Kg Galleta,Quamtrax,Avena / Arroz,"6,81",2,"13,63",03/10/2025,oct-2025,-210,CADUCADO,1 vendida,"+vistos, 1.01 kg - 2 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.3.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
3C,8436594153174,1444,Creatine Clonapure 500 Gr,Vitobest,Creatina,"19,20",1,"19,20",30/10/2025,oct-2025,-183,VENDIDO CADUCADO,Alberto,"+vistos, 0-4gr, 10IVA, Creatina, DECATHLON.AUMENTO.1.99, Ganar músculo, Monohidrato, Otras fórmulas, Polvo, WORTEN.AUMENTO.1.99"
3C,8436568403670,919-1,Harina de Avena Bio sin Gluten 500 Gr,BioArtesa,Avena / Arroz,"2,26",1,"2,26",04/10/2025,oct-2025,-209,REGALO CADUCADO,Angel,"0 kg - 1 kg, 0-20gr, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin gluten, Sin lactosa"
LR,8023678731382,2570-2,Bebida Vegetal Protein Plus Bio 250 Ml,Isola Bio,Comida Fitness,"0,85",4,"3,40",07/10/2025,oct-2025,-206,VENDIDO,,"10IVA, Alimentos orgánicos, Bebidas vegetales, Comida Saludable, Desayunos Fit, Fit Food, Líquido, Otros alimentos BIO, Sin lactosa"
LR,8435699402392,1873-1,Oh My Twiny 50 Gr Crema,Quamtrax,Barritas & Snacks,"0,67",10,"6,70",07/10/2025,oct-2025,-206,VENDIDO,quedan 2,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food, Masticable"
3C,8435699402392,1873-1,Oh My Twiny 50 Gr Crema,Quamtrax,Barritas & Snacks,"0,67",10,"6,70",07/10/2025,oct-2025,-206,REGALO CADUCADO,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food, Masticable"
CL,8023678731382,2570-2,Bebida Vegetal Protein Plus Bio 250 Ml,Isola Bio,Comida Fitness,"0,85",1,"0,85",07/10/2025,oct-2025,-206,VENDIDO,,"10IVA, Alimentos orgánicos, Bebidas vegetales, Comida Saludable, Desayunos Fit, Fit Food, Líquido, Otros alimentos BIO, Sin lactosa"
CL,8435699403061,806-9,ZerQbar 60 Gr 1 Ud Chocolate,Quamtrax,Barritas & Snacks,"1,57",12,"18,79",08/10/2025,oct-2025,-205,VENDIDO,7,#N/A
CL,8435699402392,1873-1,Oh My Twiny 50 Gr Crema,Quamtrax,Barritas & Snacks,"0,67",5,"3,35",08/10/2025,oct-2025,-205,VENDIDO,4,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food, Masticable"
3C,8436046976085,806-1,ZerQbar 60 Gr 1 Ud Canela,Quamtrax,Barritas & Snacks,"1,57",10,"15,66",08/10/2025,oct-2025,-205,VENDIDO,,"10IVA, 35-49gr, 36-50gr, 5-9gr, 9-15gr, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
LR,8435654802267,2726-1,Flapjack Gourmet Mr Poppers 100 Gr 1 Ud Caramelo y Chocolate Negro,Amix Nutrition,Barritas & Snacks,"1,75",28,"49,00",08/10/2025,oct-2025,-205,VENDIDO,quedan 18,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
LR,8437015531540,2631,Harina De Avena 100% Bio 1 Kg,BioArtesa,Avena / Arroz,"2,89",1,"2,89",08/10/2025,oct-2025,-205,VENDIDO,,"0 kg - 1 kg, 0-20gr, 04IVA, 10IVA, 4-8gr, 50-64gr, Avena, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin lactosa"
3C,8436578410613,1518-2,Iso Zero 2 Kg Cookies & Cream,WheyLand,Proteína,"57,20",1,"57,20",09/10/2025,oct-2025,-204,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
CL,8437015531540,2631,Harina De Avena 100% Bio 1 Kg,BioArtesa,Avena / Arroz,"2,89",1,"2,89",10/10/2025,oct-2025,-203,VENDIDO,,
LR,8437012636958,2011,Harina Integral de Espelta Bio 1 Kg,BioArtesa,Comida Fitness,"3,10",1,"3,10",11/10/2025,oct-2025,-202,REGALO CADUCADO,,"0 kg - 1 kg, 10IVA, Carbohidratos, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo, Sin lactosa"
CL,5056569900157,1830-2,C4 Original 60 Serv. Naranja,Cellucor,Preentreno / Precursores,"23,07",2,"46,13",11/10/2025,oct-2025,-202,VENDIDO,1,"10IVA, AMAZON.AUMENTO.4.99, AMERICANA, Arginina, Beta alanina, BULEVIP.AUMENTO.2.99, Cafeína, Con estimulantes, Contiene Creatina, DECATHLON.AUMENTO.2.99, Energizantes, Frutas, Lima, Más Energía, Naranja, Polvo, Pre-Entrenos, Tirosina, Vitamina B, Vitamina B12, Vitamina B6, Vitamina C, Vitaminas B"
3C,5056569900157,1830-2,C4 Original 60 Serv. Naranja,Cellucor,Preentreno / Precursores,"23,07",1,"23,07",11/10/2025,oct-2025,-202,VENDIDO,,"10IVA, AMAZON.AUMENTO.4.99, AMERICANA, Arginina, Beta alanina, BULEVIP.AUMENTO.2.99, Cafeína, Con estimulantes, Contiene Creatina, DECATHLON.AUMENTO.2.99, Energizantes, Frutas, Lima, Más Energía, Naranja, Polvo, Pre-Entrenos, Tirosina, Vitamina B, Vitamina B12, Vitamina B6, Vitamina C, Vitaminas B"
LR,8422584091441,1243,Granola con Chocolate y Coco Sin Gluten Bio 350 gr,El Granero,Comida Fitness,"3,11",1,"3,11",12/10/2025,oct-2025,-201,VENDIDO,,"0-20gr, 04IVA, 10IVA, 4-8gr, 65-80gr, Alimentos orgánicos, Avena, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Ganar músculo, Masticable, Más Energía, Sin gluten"
AL,8437015531120,1919,Crujiente de Algas y Espelta Bio 150 Gr,BioArtesa,Comida Fitness,"2,84",9,"25,54",14/10/2025,oct-2025,-199,REGALO CADUCADO,,"10IVA, Barritas y Snacks, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food"
LR,8436568400525,1601,Mix - Praline - POS,BioArtesa,Comida Fitness,"2,63",31,"81,53",16/10/2025,oct-2025,-197,REGALO CADUCADO,,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Sin gluten, Sin lactosa, Tomate"
LR,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",28,"23,80",16/10/2025,oct-2025,-197,REGALO CADUCADO,Kitmax,"10IVA, Alimentos orgánicos, Bebidas vegetales, Comida Saludable, Desayunos Fit, Fit Food, Líquido, Otros alimentos BIO, Sin lactosa"
LR,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",5,"4,25",16/10/2025,oct-2025,-197,REGALO CADUCADO,Brownie,"10IVA, Alimentos orgánicos, Bebidas vegetales, Comida Saludable, Desayunos Fit, Fit Food, Líquido, Otros alimentos BIO, Sin lactosa"
CL,8436568400525,1601,Mix - Cookies & Cream - POS,BioArtesa,Comida Fitness,"2,63",18,"47,34",16/10/2025,oct-2025,-197,VENDIDO,,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Sin gluten, Sin lactosa, Tomate"
CL,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",36,"30,60",16/10/2025,oct-2025,-197,VENDIDO,Brownie,
CL,8023678731382,2570-2,Bebidas MIX 1 Unidad - POS,Isola Bio,Comida Fitness,"0,85",33,"28,05",16/10/2025,oct-2025,-197,VENDIDO,Kit Max,
3C,8436568400525,1601,Mix - Katrine - POS,BioArtesa,Comida Fitness,"2,63",13,"34,19",16/10/2025,oct-2025,-197,VENDIDO,,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Sin gluten, Sin lactosa, Tomate"
LR,8023678731702,2730,Bebida Vegetal de Avena y Vainilla Bio 1 L,Isola Bio,Comida Fitness,"1,68",4,"6,73",17/10/2025,oct-2025,-196,REGALO CADUCADO,quedan 2,#N/A
CL,8435654802274,2726-3,Flapjack Gourmet Mr Poppers 100 Gr 1 Ud Manzana con Caramelo y Chocolate Blanco,Amix Nutrition,Barritas & Snacks,"1,75",28,"49,00",17/10/2025,oct-2025,-196,VENDIDO,,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
CL,8023678731702,2730,Bebida Vegetal de Avena y Vainilla Bio 1 L,Isola Bio,Comida Fitness,"1,68",4,"6,73",17/10/2025,oct-2025,-196,VENDIDO,,#N/A
LR,8436568400525,1601,Mix - Leche condensada - POS,BioArtesa,Comida Fitness,"2,63",5,"13,15",19/10/2025,oct-2025,-194,REGALO CADUCADO,,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Sin gluten, Sin lactosa, Tomate"
LR,8436568400525,1601,Mix - Vanilla - POS,BioArtesa,Comida Fitness,"2,63",38,"99,94",19/10/2025,oct-2025,-194,REGALO CADUCADO,,"10IVA, Alimentos orgánicos, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Sin gluten, Sin lactosa, Tomate"
LR,8435654802267,2726-1,Flapjack Gourmet Mr Poppers 100 Gr 1 Ud Caramelo y Chocolate Negro,Amix Nutrition,Barritas & Snacks,"1,75",20,"35,00",21/10/2025,oct-2025,-192,REGALO CADUCADO,quedean 15 / ang coge 2,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
CL,8435654802267,2726-1,Flapjack Gourmet Mr Poppers 100 Gr 1 Ud Caramelo y Chocolate Negro,Amix Nutrition,Barritas & Snacks,"1,75",21,"36,75",21/10/2025,oct-2025,-192,VENDIDO,,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
3C,8435654802267,2726-1,Flapjack Gourmet Mr Poppers 100 Gr 1 Ud Caramelo y Chocolate Negro,Amix Nutrition,Barritas & Snacks,"1,75",58,"101,50",21/10/2025,oct-2025,-192,REGALO CADUCADO,,"10IVA, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Masticable, MRPOPPERS, Más Energía"
LR,8594159533615,151-2,McPro 35 Gr 1 Ud Fresa - Yogurt,Amix Nutrition,Barritas & Snacks,"0,73",21,"15,33",22/10/2025,oct-2025,-191,REGALO CADUCADO,,"10IVA, 21-34gr, 21-35gr, 35-49gr, 9-15gr, AMIX, Barritas, Barritas y Snacks, Comida Saludable, Endurance, Fit Food, Keto, Masticable, Más Energía"
CL,8436578410620,1518-1,Iso Zero 2 Kg Madagascar Vainilla,WheyLand,Proteína,"57,20",1,"57,20",24/10/2025,oct-2025,-189,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
AL,5999076215850,690-1,Citrulline Malate 300 Gr Neutro,Biotech USA,Preentreno / Precursores,"12,06",1,"12,06",25/10/2025,oct-2025,-188,VENDIDO,,"10IVA, AMAZON.AUMENTO.0.99, Aminoácidos, Aminoácidos individuales, Citrulina, Energizantes, Ganar músculo, Más Energía, Perder peso, Polvo, Pre-Entrenos, Salud, Salud y Bienestar, Sin cafeína, Sin estimulantes, SPRINTER.EXCLUIDO"
LR,8434564407029,1657,Corn Flakes Choco Bio 350 Gr,BioArtesa,Comida Fitness,"2,62",3,"7,85",30/10/2025,oct-2025,-183,VENDIDO,queda 1,#N/A
LR,5999076228782,2734-1,Crush Bar 64 Gr Cookies & Cream,Biotech USA,Barritas & Snacks,"1,81",3,"5,44",30/10/2025,oct-2025,-183,VENDIDO,,"+relevantes, +vendidos, 10-14gr, 10IVA, 35-49gr, 36-50gr, 9-15gr, Barritas y Snacks, Comida Saludable, DECATHLON.EXCLUIDO, Fit Food, Keto, Masticable"
CL,8436568407029,1657,Corn Flakes Choco Bio 350 Gr,BioArtesa,Comida Fitness,"2,62",1,"2,62",30/10/2025,oct-2025,-183,VENDIDO,,"0-20gr, 0-4gr, 10IVA, 76-80gr, Alimentos orgánicos, Carbohidratos, Cereales BIO, Comida Saludable, Desayunos Fit, Fit Food, Maíz"
CL,8437012636736,1028-1,Semillas de Girasol Bio 1 Kg,BioArtesa,Comida Fitness,"3,95",1,"3,95",30/10/2025,oct-2025,-183,VENDIDO,,"10IVA, Alimentos orgánicos, Barritas y Snacks, Comida Saludable, Desayunos Fit, Fit Food, Frutos secos semillas y deshidratados, Keto, Semillas de girasol, Sin lactosa"
3C,857401005277,1254-2,i90 Isolac CFM 908 Gr Chocolate,Starlabs,Proteína,"29,32",1,"29,32",30/10/2025,oct-2025,-183,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, AMAZON.AUMENTO.1.99, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten, Vitaminas / minerales"
3C,8436594154263,2456-9,Whey Protein 100% 1 Kg Yogur Limón,Vitobest,Proteína,"20,97",1,"20,97",30/10/2025,oct-2025,-183,VENDIDO CADUCADO,,"0 kg - 1 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436578410620,1518-1,Iso Zero 2 Kg Madagascar Vainilla,WheyLand,Proteína,"57,20",1,"57,20",30/10/2025,oct-2025,-183,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8436578410484,1180-2,Iso Zero 1 Kg Cookies & Cream,WheyLand,Proteína,"29,10",2,"58,19",30/10/2025,oct-2025,-183,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, AMAZON.AUMENTO.4.99, BULEVIP.AUMENTO.2.99, DECATHLON.AUMENTO.4.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8436578410439,1180-4,Iso Zero 1 Kg Fresa,WheyLand,Proteína,"29,10",1,"29,10",30/10/2025,oct-2025,-183,VENDIDO,,"0 kg - 1 kg, 0-3gr, 0-4gr, 10IVA, 85-89gr, Aislada, AMAZON.AUMENTO.4.99, BULEVIP.AUMENTO.2.99, DECATHLON.AUMENTO.4.99, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8437014456417,1202-2,Gourmet Fit Peanut Butter + Protein sabores 1 Kg Galleta,Perfect Nutrition,Comida Fitness,"7,98",1,"7,98",30/10/2025,oct-2025,-183,VENDIDO,,
3C,8594159530300,1409-1,Synchro Bcaa + Sustamine 300 Gr Frutas,Amix Nutrition,Aminoácidos,"17,45",1,"17,45",30/10/2025,oct-2025,-183,VENDIDO,,"+vistos, 10IVA, Aminoácidos, AMIX, AMIXPRO, Bcaa, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Perder peso, Polvo, Recuperación, Salud y Bienestar, Sin carbohidratos"
3C,8425252000684,426-4,"Good Morning Instant Oatmeal 1,5 Kg Red Velvet",Max Protein,Avena / Arroz,"6,22",1,"6,22",30/10/2025,oct-2025,-183,VENDIDO,,"+vistos, 0-20gr, 10IVA, 4-8gr, 50-64gr, AMAZON.AUMENTO.7.99, Avena, Carbohidratos, Comida Saludable, DECATHLON.AUMENTO.0.99, Desayunos Fit, Fit Food, Ganar músculo, Harinas, Harinas y tortitas, Polvo"
CL,8436594154355,1703-3,Crema de arroz 600 Gr Neutro,Vitobest,Avena / Arroz,"5,99",3,"17,97",30/10/2025,oct-2025,-183,VENDIDO CADUCADO,"1, para morad","0 kg - 1 kg, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.5.99, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, Más Energía, Polvo, Recuperación"
3C,8436540535665,1393-2,Monstrous Gainer 3 Kg Vainilla,Vitobest,Carbos / Subidores,"17,73",1,"17,73",30/10/2025,oct-2025,-183,VENDIDO,,"0-20gr, 0-3gr, 10IVA, 65-80gr, > 3 kg, Amilopectina, Con carbohidratos, Contiene Creatina, Dextrosa, Ganadores de peso, Ganar músculo, Maltodextrina, Recuperación"
3C,8594159539143,669-6,"RiceMash 1,5 Kg Natural",Amix Nutrition,Avena / Arroz,"11,42",1,"11,42",30/10/2025,oct-2025,-183,VENDIDO CADUCADO,,"1.01 kg - 2 kg, 10IVA, 65-80gr, < 3 kg, AMIX, Arroz, Carbohidratos, Comida Saludable, Con carbohidratos, Desayunos Fit, Fit Food, Ganar músculo, Harina de arroz, Harinas, Harinas y tortitas, MRPOPPERS, Más Energía, Polvo, Recuperación"
3C,8436609600471,468-5,Casein Pro Micellar 907 Gr Vainilla,Bigman,Proteína,"17,25",1,"17,25",30/10/2025,oct-2025,-183,VENDIDO,,#N/A
3C,8436609600457,1250-2,Carborelease 2 Kg Frutas del Bosque,Bigman,Carbos / Subidores,"11,14",1,"11,14",30/10/2025,oct-2025,-183,CADUCADO,,#N/A
3C,8436574980097,1419-1,Cyclo Pro 1 Kg Mandarina,Starlabs,Carbos / Subidores,"22,63",1,"22,63",30/10/2025,oct-2025,-183,VENDIDO,,"+vistos, 0 kg - 1 kg, 10IVA, 81-100gr, < 3 kg, Aminoácidos, Carbohidratos, Ciclodextrina, Con carbohidratos, Endurance, Ganar músculo, Más Energía, Polvo, Recuperación, Salud, Salud y Bienestar"
3C,8436574980493,1419-2,Cyclo Pro 1 Kg Limón,Starlabs,Carbos / Subidores,"22,63",1,"22,63",30/10/2025,oct-2025,-183,VENDIDO,,"+vistos, 0 kg - 1 kg, 10IVA, 81-100gr, < 3 kg, Aminoácidos, Carbohidratos, Ciclodextrina, Con carbohidratos, Endurance, Ganar músculo, Más Energía, Polvo, Recuperación, Salud, Salud y Bienestar"
3C,8436609600679,1818-5,Bcaa + Glutamine / Electrolytes 300 Gr Cola,Bigman,Aminoácidos,"9,82",1,"9,82",30/10/2025,oct-2025,-183,VENDIDO,,"10IVA, Aminoácidos, Calcio, Endurance, Ganar músculo, Glutamina y Bcaa, Magnesio, Minerales, Perder peso, Polvo, Potasio, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Sodio, Zinc"
3C,8436540537010,1401-2,Glutamine + Bcaa 500 Gr Cola Zero,Vitobest,Aminoácidos,"17,14",6,"102,84",30/10/2025,oct-2025,-183,VENDIDO,quedan 2,"+relevantes, 10IVA, Aminoácidos, Destacados, Endurance, Ganar músculo, Glutamina y Bcaa, Perder peso, Polvo, Recuperación, Salud, Salud y Bienestar, Sin carbohidratos, Vitamina B6"
3C,8436540530974,2135-1,Cellbest 3 lb Fresa,Vitobest,Carbos / Subidores,"15,89",1,"15,89",30/10/2025,oct-2025,-183,REGALO CADUCADO,,"+vistos, 0 kg - 1 kg, 10IVA, < 3 kg, Añadido extra de aminoácidos, Beta alanina, Calcio, Carbohidratos, Ciclodextrina, Cobre, Con carbohidratos, Con estimulantes, Contiene Creatina, Cromo, Endurance, Energizantes, Ganar músculo, Hierro, Magnesio, Maltodextrina, Manganeso, MSM, Más Energía, Polvo, R-Ala, Recuperación, Salud, Salud y Bienestar, Sodio, Taurina, Vitamina B6, Vitamina C, Vitaminas / minerales, Yodo, Zinc"
3C,8436594154652,1179-3,Soy Iso Protein 1 Kg Neutro,Vitobest,Proteína,"12,85",2,"25,70",30/10/2025,oct-2025,-183,VENDIDO CADUCADO,,"0 kg - 1 kg, 10IVA, 15-24gr, 4-8gr, 50-64gr, AMAZON.AUMENTO.1.99, Ganar músculo, No animal / Vegetal, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Vegana, Vitaminas / minerales"
3C,8437014456134,1202-1,Gourmet Fit Peanut Butter + Protein sabores 1 Kg Chocolate,Perfect Nutrition,Comida Fitness,"7,98",2,"15,96",30/10/2025,oct-2025,-183,VENDIDO,,"10IVA, Comida Saludable, Cremas Frutos Secos, Desayunos Fit, Fit Food, Keto, PRODUCTOCL, Salsas cremas y siropes, Sin gluten"
3C,8594046796833,1909,Bodyguard Ultimate 120 Caps,Amix Nutrition,Salud y Bienestar,"14,67",1,"14,67",30/10/2025,oct-2025,-183,VENDIDO,,"10IVA, Antioxidantes, Café verde, Cardo mariano, Cápsulas, Cúrcuma, Inositol, NAC, Pimienta negra, Salud, Salud y Bienestar, Selenio, Sistema Inmune, Té verde, Vitamina B9, Vitamina C"
3C,8594060005362,800-4,Low Carb Protein Bar 60 Gr 1 Ud Fresa - Plátano,Amix Nutrition,Barritas & Snacks,"1,11",14,"15,54",30/10/2025,oct-2025,-183,VENDIDO,,"10IVA, 21-34gr, 21-35gr, 25-34gr, 9-15gr, AMIX, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
3C,8436594155581,2448-3,Whey Protein Bar 35 Gr Fresa,Vitobest,Barritas & Snacks,"0,80",7,"5,60",30/10/2025,oct-2025,-183,VENDIDO,,"10IVA, Barritas y Snacks, Comida Saludable, Fit Food, Keto, Masticable"
3C,5060245600552,29-4,"Serious Mass 2,72 Kg Plátano",Optimum Nutrition,Carbos / Subidores,"28,97",1,"28,97",30/10/2025,oct-2025,-183,VENDIDO,,"0-20gr, 0-3gr, 10IVA, 65-80gr, < 3 kg, AMAZON.AUMENTO.3.99, AMERICANA, Añadido extra de aminoácidos, Con carbohidratos, Contiene Creatina, DECATHLON.AUMENTO.1.99, Ganadores de peso, Ganar músculo, Maltodextrina, Recuperación, Vitaminas / minerales"
3C,8436594157103,2457-6,Whey Protein 100% 2 Kg Piña Colada,Vitobest,Proteína,"39,03",1,"39,03",30/10/2025,oct-2025,-183,VENDIDO,,"1.01 kg - 2.50 kg, 10IVA, 4-8gr, 5-9gr, 75-79gr, Concentrada, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos"
3C,8436540531087,1445-1,Recovery Total 700 Gr Sandía,Vitobest,Carbos / Subidores,"10,85",1,"10,85",30/10/2025,oct-2025,-183,VENDIDO,,"0 kg - 1 kg, 10IVA, < 3 kg, Aminoácidos, Calcio, Carbohidratos, Con carbohidratos, Dextrosa, Endurance, Ganar músculo, Glutamina y Bcaa, Hierro, Magnesio, MSM, Más Energía, Potasio, Recuperación, Sodio, Vitamina C, Vitaminas / minerales, Zinc"
3C,8594046796789,1941-2,Yeep Pump No Caff 360 Gr Jungle Monster,Amix Nutrition,Preentreno / Precursores,"14,65",2,"29,30",30/10/2025,oct-2025,-183,VENDIDO,,"10IVA, Arginina, Beta alanina, Colina, Energizantes, GABA, Ginko Biloba, Lisina, Más Energía, Pre-Entrenos, Sin cafeína, Sin estimulantes, Taurina, Teanina, Vitamina B6"
3C,8594046796765,1897-3,Perfect Intra 870 Gr Melón - Kiwi,Amix Nutrition,Carbos / Subidores,"30,49",1,"30,49",30/10/2025,oct-2025,-183,VENDIDO CADUCADO,,"0 kg - 1 kg, 10IVA, 50-64gr, < 3 kg, Carbohidratos, Ciclodextrina, Con carbohidratos, Contiene Creatina, Contiene Glutamina, Endurance, Fórmulas aminoácidos esenciales, Ganar músculo, Más Energía, Polvo, Potasio, Recuperación, Salud, Salud y Bienestar, Sodio, Vitamina B6, Vitamina C"
3C,8436578410668,1518-4,Iso Zero 2 Kg Fresa,WheyLand,Proteína,"57,20",1,"57,20",30/10/2025,oct-2025,-183,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8436578410620,1518-1,Iso Zero 2 Kg Madagascar Vainilla,WheyLand,Proteína,"57,20",1,"57,20",30/10/2025,oct-2025,-183,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
3C,8436578410613,1518-2,Iso Zero 2 Kg Cookies & Cream,WheyLand,Proteína,"57,20",1,"57,20",30/10/2025,oct-2025,-183,VENDIDO,,"0-3gr, 0-4gr, 1.01 kg - 2.50 kg, 10IVA, 85-89gr, Aislada, Enzimas digestivas, Ganar músculo, Perder peso, Polvo, Proteínas, Proteínas sin hidratos, Recuperación, Sin carbohidratos, Sin gluten"
